Id,Label,size,modularity_class,organization,clustering,triangles,degree,color,Size,Color
123,umich,2,1,umich,754986,265,27,"#BFBFBF",10.078671,"#bfbfbf"
128,surrey,2,1,surrey,8,36,10,"#BFBFBF",10.078671,"#bfbfbf"
132,espressif,2,1,espressif,888889,32,10,"#BFBFBF",10.078671,"#bfbfbf"
136,tum,2,1,tum,846154,77,14,"#BFBFBF",10.078671,"#bfbfbf"
145,clarifai,2,1,clarifai,882353,135,18,"#BFBFBF",10.078671,"#bfbfbf"
148,fizyr,2,4,fizyr,80303,53,12,"#BFBFBF",10.078671,"#bfbfbf"
152,codeplay,2,4,codeplay,1,36,9,"#BFBFBF",10.078671,"#bfbfbf"
177,mobvoi,2,1,mobvoi,787879,52,12,"#BFBFBF",10.078671,"#bfbfbf"
183,cern,2,1,cern,912281,156,19,"#BFBFBF",10.078671,"#bfbfbf"
192,verisilicon,2,4,verisilicon,1,1,2,"#BFBFBF",10.078671,"#bfbfbf"
195,broadcom,2,1,broadcom,636364,42,13,"#BFBFBF",10.078671,"#bfbfbf"
225,meta,2,4,meta,1,6,4,"#BFBFBF",10.078671,"#bfbfbf"
226,gmu,2,4,gmu,1,10,5,"#BFBFBF",10.078671,"#bfbfbf"
234,butterflynetinc,2,1,butterflynetinc,978022,89,14,"#BFBFBF",10.078671,"#bfbfbf"
283,sjtu,2,1,sjtu,948718,74,13,"#BFBFBF",10.078671,"#bfbfbf"
299,hyperscience,2,4,hyperscience,866667,13,6,"#BFBFBF",10.078671,"#bfbfbf"
303,Baidu,2,4,Baidu,952381,20,7,"#BFBFBF",10.078671,"#bfbfbf"
320,cvisionlab,2,4,cvisionlab,1,36,9,"#BFBFBF",10.078671,"#bfbfbf"
2,Liferay,1,0,Liferay,607143,17,8,"#BFBFBF",10,"#bfbfbf"
3,Palantir,1,0,Palantir,555556,20,9,"#BFBFBF",10,"#bfbfbf"
4,Ensostudio,1,0,Ensostudio,666667,2,3,"#BFBFBF",10,"#bfbfbf"
5,Cm4all,1,0,Cm4all,571429,12,7,"#BFBFBF",10,"#bfbfbf"
7,Captialone,1,0,Captialone,0,0,1,"#BFBFBF",10,"#bfbfbf"
8,Ingenious,1,0,Ingenious,0,0,1,"#BFBFBF",10,"#bfbfbf"
10,Conceptcoding,1,0,Conceptcoding,1,3,3,"#BFBFBF",10,"#bfbfbf"
11,Collabora,1,0,Collabora,1,10,5,"#BFBFBF",10,"#bfbfbf"
12,Ualberta,1,0,Ualberta,761905,16,7,"#BFBFBF",10,"#bfbfbf"
13,Illionois,1,0,Illionois,0,0,1,"#BFBFBF",10,"#bfbfbf"
14,Codelab,1,0,Codelab,1,6,4,"#BFBFBF",10,"#bfbfbf"
15,Cloudera,1,0,Cloudera,0,0,1,"#BFBFBF",10,"#bfbfbf"
16,Hmudesign,1,0,Hmudesign,1,10,5,"#BFBFBF",10,"#bfbfbf"
17,tc-sa,1,4,tc-sa,666667,10,6,"#BFBFBF",10,"#bfbfbf"
