Id,Label,size,modularity_class,organization,clustering,triangles,degree,color,Size,Color
314,imperial,1,4,imperial,1,1,2,"#BFBFBF",10,"#bfbfbf"
315,orange,1,4,orange,1,15,6,"#BFBFBF",10,"#bfbfbf"
316,Algorithmia,1,1,Algorithmia,1,21,7,"#BFBFBF",10,"#bfbfbf"
317,uoit,1,4,uoit,1,1,2,"#BFBFBF",10,"#bfbfbf"
318,jwpepper,1,1,jwpepper,1,21,7,"#BFBFBF",10,"#bfbfbf"
319,Bayesgroup,1,1,Bayesgroup,1,21,7,"#BFBFBF",10,"#bfbfbf"
321,yodlee,1,4,yodlee,1,15,6,"#BFBFBF",10,"#bfbfbf"
322,uni-duesseldorf,1,1,uni-duesseldorf,1,6,4,"#BFBFBF",10,"#bfbfbf"
323,cse,1,1,cse,1,3,3,"#BFBFBF",10,"#bfbfbf"
324,zenior,1,1,zenior,1,3,3,"#BFBFBF",10,"#bfbfbf"
325,designcondition,1,1,designcondition,1,10,5,"#BFBFBF",10,"#bfbfbf"
326,Bitfusion,1,1,Bitfusion,1,3,3,"#BFBFBF",10,"#bfbfbf"
327,ualberta,1,1,ualberta,1,136,17,"#BFBFBF",10,"#bfbfbf"
328,numenta,1,4,numenta,1,1,2,"#BFBFBF",10,"#bfbfbf"
329,civisanalytics,1,1,civisanalytics,1,6,4,"#BFBFBF",10,"#bfbfbf"
330,mongoosemetrics,1,1,mongoosemetrics,1,15,6,"#BFBFBF",10,"#bfbfbf"
331,wiser,1,4,wiser,972222,35,9,"#BFBFBF",10,"#bfbfbf"
332,merck,1,1,merck,0,0,1,"#BFBFBF",10,"#bfbfbf"
333,Hypermob,1,14,Hypermob,0,0,2,"#BFBFBF",10,"#bfbfbf"
334,Nyu,1,7,Nyu,0,0,0,"#BFBFBF",10,"#bfbfbf"
335,Britecore,1,18,Britecore,0,0,1,"#BFBFBF",10,"#bfbfbf"
336,Synology,1,14,Synology,0,0,1,"#BFBFBF",10,"#bfbfbf"
337,Askattest,1,8,Askattest,0,0,0,"#BFBFBF",10,"#bfbfbf"
338,Tomicio,1,1,Tomicio,1,1,2,"#BFBFBF",10,"#bfbfbf"
339,Quasar,1,9,Quasar,0,0,0,"#BFBFBF",10,"#bfbfbf"
340,Globant,1,10,Globant,0,0,0,"#BFBFBF",10,"#bfbfbf"
341,linux,1,11,linux,0,0,0,"#BFBFBF",10,"#bfbfbf"
342,Yandex,1,12,Yandex,0,0,0,"#BFBFBF",10,"#bfbfbf"
343,Nts-corp,1,13,Nts-corp,0,0,0,"#BFBFBF",10,"#bfbfbf"
344,cuw,1,14,cuw,0,0,1,"#BFBFBF",10,"#bfbfbf"
345,yandex,1,15,yandex,0,0,0,"#BFBFBF",10,"#bfbfbf"
346,pwc-digital,1,16,pwc-digital,0,0,0,"#BFBFBF",10,"#bfbfbf"
347,sheetjs,1,1,sheetjs,1,1,2,"#BFBFBF",10,"#bfbfbf"
348,Caelum,1,17,Caelum,0,0,0,"#BFBFBF",10,"#bfbfbf"
349,Leadgenius,1,18,Leadgenius,0,0,1,"#BFBFBF",10,"#bfbfbf"
