Source,Target,Type,Id,Label,Weight,size,Color
78,137,Undirected,350,,12,1,"#999999"
78,135,Undirected,351,,72,1,"#999999"
78,131,Undirected,352,,7,1,"#999999"
78,97,Undirected,353,,456,3,"#999999"
78,129,Undirected,354,,1,1,"#999999"
78,127,Undirected,355,,141,1,"#999999"
9,98,Undirected,356,,2674,134,"#999999"
78,84,Undirected,357,,742,10,"#999999"
78,126,Undirected,358,,19,1,"#999999"
78,123,Undirected,359,,99,2,"#999999"
78,122,Undirected,360,,75,2,"#999999"
78,37,Undirected,361,,599,5,"#999999"
78,281,Undirected,362,,2,1,"#999999"
78,109,Undirected,363,,1062,1,"#999999"
78,107,Undirected,364,,104,2,"#999999"
78,101,Undirected,365,,23,1,"#999999"
78,98,Undirected,366,,183,1,"#999999"
78,39,Undirected,367,,36,1,"#999999"
78,95,Undirected,368,,92,1,"#999999"
78,94,Undirected,369,,98,1,"#999999"
78,88,Undirected,370,,34,1,"#999999"
78,87,Undirected,371,,413,1,"#999999"
78,146,Undirected,372,,27,1,"#999999"
78,77,Undirected,373,,102340,4,"#999999"
9,91,Undirected,374,,5796,345,"#999999"
78,217,Undirected,375,,2,1,"#999999"
78,102,Undirected,376,,73,1,"#999999"
78,306,Undirected,377,,10,1,"#999999"
9,296,Undirected,378,,457,128,"#999999"
9,287,Undirected,379,,1059,107,"#999999"
9,124,Undirected,380,,6714,700,"#999999"
9,121,Undirected,381,,636,122,"#999999"
9,250,Undirected,382,,307,93,"#999999"
9,247,Undirected,383,,242,58,"#999999"
9,106,Undirected,384,,9842,633,"#999999"
9,189,Undirected,385,,1191,212,"#999999"
9,210,Undirected,386,,314,63,"#999999"
9,209,Undirected,387,,496,133,"#999999"
9,203,Undirected,388,,129,60,"#999999"
9,159,Undirected,389,,528,142,"#999999"
78,27,Undirected,390,,57,3,"#999999"
9,178,Undirected,391,,2513,168,"#999999"
9,153,Undirected,392,,1579,118,"#999999"
9,147,Undirected,393,,2778,208,"#999999"
9,128,Undirected,394,,638,107,"#999999"
9,136,Undirected,395,,1732,160,"#999999"
9,143,Undirected,396,,1448,84,"#999999"
78,234,Undirected,397,,3,1,"#999999"
9,135,Undirected,398,,6562,422,"#999999"
9,110,Undirected,399,,10768,722,"#999999"
9,103,Undirected,400,,1119,88,"#999999"
9,99,Undirected,401,,5204,288,"#999999"
78,96,Undirected,402,,51,1,"#999999"
78,204,Undirected,403,,6,1,"#999999"
78,322,Undirected,404,,2,1,"#999999"
78,172,Undirected,405,,156,1,"#999999"
