Source,Target,Type,Id,Label,Weight,color,Color
Apple,arm,Undirected,630,,2,"#000000","#000000"
Apple,MobileIron,Undirected,631,,3,"#000000","#000000"
Apple,Microsoft,Undirected,632,,11,"#000000","#000000"
Apple,amazon,Undirected,633,,2,"#000000","#000000"
Apple,butterflynetinc,Undirected,634,,1,"#000000","#000000"
Apple,soton,Undirected,635,,7,"#000000","#000000"
Apple,engflow,Undirected,636,,1,"#000000","#000000"
sifive,nxp,Undirected,637,,1,"#000000","#000000"
graphcore,arm,Undirected,638,,1,"#000000","#000000"
graphcore,Intel,Undirected,639,,2,"#000000","#000000"
graphcore,graphcore,Undirected,641,,21,"#000000","#000000"
Apple,users,Undirected,645,,2,"#000000","#000000"
arm,butterflynetinc,Undirected,647,,2,"#000000","#000000"
arm,engflow,Undirected,648,,2,"#000000","#000000"
IBM,tum,Undirected,650,,1,"#000000","#000000"
IBM,butterflynetinc,Undirected,651,,1,"#000000","#000000"
Intel,soton,Undirected,652,,2,"#000000","#000000"
ispras,tum,Undirected,655,,2,"#000000","#000000"
ispras,MobileIron,Undirected,656,,12,"#000000","#000000"
tum,MobileIron,Undirected,658,,24,"#000000","#000000"
metu,Microsoft,Undirected,659,,6,"#000000","#000000"
metu,AMD,Undirected,660,,1,"#000000","#000000"
bytedance,Microsoft,Undirected,661,,7,"#000000","#000000"
MobileIron,amazon,Undirected,662,,4,"#000000","#000000"
MobileIron,butterflynetinc,Undirected,663,,2,"#000000","#000000"
MobileIron,engflow,Undirected,664,,2,"#000000","#000000"
Microsoft,polymagelabs,Undirected,667,,1,"#000000","#000000"
amazon,butterflynetinc,Undirected,668,,2,"#000000","#000000"
amazon,engflow,Undirected,669,,2,"#000000","#000000"
butterflynetinc,engflow,Undirected,671,,1,"#000000","#000000"
users,soton,Undirected,672,,2,"#000000","#000000"
Alphabet,agentic,Undirected,673,,2,"#000000","#000000"
bytedance,hotmail,Undirected,675,,3,"#000000","#000000"
bytedance,dfki,Undirected,676,,6,"#000000","#000000"
bytedance,polymagelabs,Undirected,677,,2,"#000000","#000000"
