Id,Label,color,Size,Color
Rutgers,,"#000000",1.158576,"#000000"
nervana-bdw30,,"#000000",1.79288,"#000000"
MobileIron,,"#0070C0",16.381878,"#0070c0"
IBM,,"#7030A0",18.126215,"#7030a0"
Microsoft,,"#000000",7.343042,"#000000"
Intel,,"#00B050",14.796116,"#00b050"
minds,,"#000000",3.061489,"#000000"
Ucsd,,"#000000",3.220065,"#000000"
iqt,,"#000000",1.634304,"#000000"
Nvidia,,"#47D359",12.417476,"#47d359"
Naver,,"#000000",2.427185,"#000000"
Codeplay,,"#000000",4.012945,"#000000"
Duke,,"#000000",2.268609,"#000000"
Hello,,"#000000",1.634304,"#000000"
Ku,,"#000000",1.634304,"#000000"
sancare,,"#000000",1.317152,"#000000"
kikatech,,"#000000",1.79288,"#000000"
nod-labs,,"#000000",2.427185,"#000000"
Baidu,,"#000000",1.317152,"#000000"
Chinamobile,,"#000000",1.634304,"#000000"
rutgers,,"#000000",2.427185,"#000000"
brainscode,,"#000000",2.585761,"#000000"
Ibotta,,"#000000",1.79288,"#000000"
patsnap,,"#000000",1.475728,"#000000"
Ntu,,"#000000",1.951456,"#000000"
snu,,"#000000",7.184466,"#000000"
Pku,,"#000000",1.634304,"#000000"
hpcnt,,"#000000",1.317152,"#000000"
itseez3d,,"#000000",1.951456,"#000000"
mellanox,,"#000000",1.951456,"#000000"
stylight,,"#000000",2.902913,"#000000"
umich,,"#000000",2.268609,"#000000"
graphcore,,"#000000",3.220065,"#000000"
appliedbrainresearch,,"#000000",2.744337,"#000000"
cs,,"#000000",2.110032,"#000000"
gmu,,"#000000",1.634304,"#000000"
Broadcom,,"#000000",1.79288,"#000000"
perfect,,"#000000",1.634304,"#000000"
imperial,,"#000000",1.317152,"#000000"
xldrx,,"#000000",1.951456,"#000000"
mit,,"#000000",1.951456,"#000000"
ucc,,"#000000",1.475728,"#000000"
nyu,,"#000000",2.902913,"#000000"
allenai,,"#000000",1.475728,"#000000"
stanford,,"#000000",1.634304,"#000000"
uci,,"#000000",1.475728,"#000000"
caicloud,,"#000000",1.79288,"#000000"
naml,,"#000000",3.537217,"#000000"
elementai,,"#000000",1.79288,"#000000"
digitalreasoning,,"#000000",1.317152,"#000000"
alum,,"#000000",1.475728,"#000000"
delftrobotics,,"#000000",1.79288,"#000000"
columbia,,"#000000",1.475728,"#000000"
butterflynetinc,,"#000000",2.902913,"#000000"
users,,"#000000",3.695793,"#000000"
coursera,,"#000000",1.79288,"#000000"
orange,,"#000000",1.475728,"#000000"
jwpepper,,"#000000",1.634304,"#000000"
purdue,,"#000000",1.79288,"#000000"
bayesgroup,,"#000000",1.79288,"#000000"
cvisionlab,,"#000000",1.951456,"#000000"
unifr,,"#000000",1.475728,"#000000"
utexas,,"#000000",1.79288,"#000000"
algorithmia,,"#000000",1.79288,"#000000"
uoit,,"#000000",1.317152,"#000000"
Sheetjs,,"#000000",1.317152,"#000000"
Caelum,,"#000000",1.158576,"#000000"
Leadgenius,,"#000000",1.158576,"#000000"
arterys,,"#000000",1,"#000000"
berkeley,,"#000000",2.110032,"#000000"
bitfusion,,"#000000",1,"#000000"
civisanalytics,,"#000000",1,"#000000"
clarifai,,"#000000",2.585761,"#000000"
cse,,"#000000",1,"#000000"
designcondition,,"#000000",1,"#000000"
gatech,,"#000000",2.427185,"#000000"
huawei,,"#000000",1.951456,"#000000"
kth,,"#000000",1.317152,"#000000"
merck,,"#000000",1,"#000000"
